No.,Kanji
1832,"蓋 • かこう, かさ, おお.う, けだ.し, ふた, コウ, カイ, ガイ • cover, lid, flap"
1833,"窟 • あな, いはや, いわや, コツ, クツ • cavern"
1834,"詣 • もう.でる, いた.る, まい.る, けい.する, ゲイ, ケイ • visit a temple"
1835,"隙 • ひま, す.かす, す.く, すき, ケキ, キャク, ゲキ • crevice, fissure, discord, opportunity, leisure, also N5013"
1836,"塞 • み.ちる, とりで, ふさ.ぐ, サイ, ソク • close, shut, cover, block, obstruct"
1837,"嫉 • にく.む, ねた.む, そね.む, シツ • jealous, envy"
1838,"腫 • はれもの, く.む, は.らす, は.れ, は.れる, ショウ, シュ • tumor, swelling"
1839,腎 • ジン • kidney
1840,"裾 • すそ, コ, キョ • cuff, hem, foot of mountain"
1841,"煎 • に.る, い.る, せん.じる, セン • broil, parch, roast, boil"
1842,"羨 • あまり, うらや.む, エン, セン • envious, be jealous, covet"
1843,腺 • セン • gland
1844,"詮 • あき.らか, かい, せん.ずる, セン • discussion, methods called for, selection, result"
1845,"遡 • さかのぼ.る, サク, ソ • go upstream, retrace the past"
1846,"遜 • ゆず.る, へりくだ.る, したが.う, ソン • humble, modest"
1847,"溺 • おぼ.れる, いばり, ニョウ, ジョウ, デキ • drown, indulge"
1848,"頓 • ぬかずく, とみ.に, つまず.く, とん.と, にわか.に, トツ, トン • suddenly, immediately, in a hurry"
1849,"蜂 • はち, ホウ • bee, wasp, hornet"
1850,"賂 • まいな.う, まいな.い, ロ • bribe"
1851,"傲 • あなど.る, おご.る, ゴウ • be proud"
1852,"嗅 • か.ぐ, キュウ • smell, sniff, scent"
1853,"毀 • やぶ.る, そし.る, こわ.れる, こぼ.れる, こわ.す, こぼ.つ, キ • break, destroy, censure, be chipped, be scratched, be broken, be ruined"
1854,"彙 • はりねずみ, イ • same kind"
1855,"慄 • おのの.く, おそ.れる, ふる.える, リツ • fear"
1856,"楷 • カイ • square character style, correctness"
1857,"餌 • もち, えさ, えば, え, ニ, ジ • food, bait, prey, tempting profit"
1858,"綻 • ほころ.びる, タン • be rent, ripped, unravel, run, begin to open, smile"
1859,"蔑 • さげす.む, くらい, なみ.する, ないがしろ, ベツ • ignore, despise, neglect, ridicule"
1860,"貌 • かたどる, かたち, バク, ボウ • form, appearance, countenance"
1861,"蜜 • ビツ, ミツ • honey, nectar, molasses"
1862,"餅 • もちい, もち, ヒョウ, ヘイ • mochi rice cake"
1863,"瘍 • かさ, ヨウ • boil, carbuncle"
1864,"箋 • ふだ, セン • paper, label, letter, composition"
1865,"辣 • から.い, ラツ • bitter"
1866,"畿 • みやこ, キ • capital, suburbs of capital"
1867,"痩 • や.せる, シュ, シュウ, チュウ, ソウ • get thin"
1868,"誰 • た, たれ, だれ, スイ • who, someone, somebody"
1869,"潰 • つい.える, つぶ.れる, つぶ.す, エ, カイ • crush, smash, break, dissipate"
1870,"賭 • かけ, か.ける, ト • gamble, wager, bet"
1871,"罵 • ののし.る, バ • abuse, insult"
1872,"箸 • はし, チャク, チョ • chopsticks"
1873,"膝 • ひざ, シツ • knee, lap"
1874,"蔽 • おお.い, おお.う, フツ, ヘツ, ヘイ • cover, shade, mantle, capsize, be ruined"
1875,"嘲 • あざけ.る, トウ, チョウ • ridicule, insult"
1876,"憬 • あこが.れる, ケイ • yearn for, aspire to, admire"
1877,"摯 • いた.る, シ • gift, seriousness"
1878,"緻 • こまか.い, チ • fine (i.e. not coarse)"
1879,"踪 • あと, ショウ, ソウ • remains, clue, footprint"
1880,"骸 • むくろ, カイ, ガイ • bone, body, corpse"
1881,"稽 • とど.める, かんが.える, ケイ • think, consider, quarrel"
1882,"醒 • さ.める, さ.ます, セイ • awake, be disillusioned, sober up"
1883,"膳 • そな.える, すす.める, かしわ, セン, ゼン • small low table, tray"
1884,"諦 • まこと, つまびらか, あきら.める, あき.らめる, タイ, テイ • abandon, give up"
1885,"謎 • なぞ, ベイ, メイ • riddle, puzzle, enigma, hint, tip"
1886,"麺 • むぎこ, ベン, メン • noodles, wheat flour"
1887,"諧 • やわ.らぐ, かな.う, カイ • harmony"
1888,"錮 • ふさ.ぐ, コ • to tie"
1889,"闇 • くら.い, やみ, オン, アン • get dark, gloom, disorder"
1890,"臆 • おくする, むね, ヨク, オク • timidity, heart, mind, fear, cowardly"
1891,"鍵 • かぎ, ケン • key"
1892,"戴 • いただ.く, タイ • be crowned with, live under (a ruler), receive"
1893,"鍋 • なべ, カ • pot, pan, kettle"
1894,"曖 • くら.い, アイ • dark, not clear"
1895,"顎 • あぎと, あご, ガク • jaw, chin, gill"
1896,"韓 • いげた, から, カン • Korea"
1897,"璧 • たま, ヘキ • sphere, ball"
1898,"蹴 • け.る, シュウ, シュク • kick"
1899,"麓 • ふもと, ロク • foot of a mountain"
1900,"籠 • こ.む, こも.る, こ.める, かご, ル, ロウ • basket, devote oneself, seclude oneself, cage, coop, implied"
1901,"鬱 • しげ.る, ふさ.ぐ, うっ.する, ウツ • gloom, depression, melancholy"
