Freq. Rank,Lexeme,Standard Orthography,Standard Reading
18424,擽ったい,くすぐったい,くすぐったい
18601,厳めしい,いかめしい,いかめしい
18601,ごつい,ごつい,ごつい
18778,微笑ましい,ほほえましい,ほほえましい
18778,喜ばしい,喜ばしい,よろこばしい
18778,安っぽい,安っぽい,やすっぽい
18951,手強い,手ごわい,てごわい
19125,けたたましい,けたたましい,けたたましい
19294,いとおしい,いとおしい,いとおしい
19497,めんどい,めんどい,めんどい
19690,味気無い,味気無い,あじきない
19690,懐こい,なつっこい,なつこい
19690,真っ白い,真っ白い,まっしろい
19690,物憂い,物憂い,ものうい
19690,きもい,,
19898,物悲しい,もの悲しい,ものがなしい
19898,疚しい,やましい,やましい
20120,目新しい,目新しい,めあたらしい
20298,紛らわしい,まぎらわしい,まぎらわしい
20298,馴れ馴れしい,なれなれしい,なれなれしい
20298,麗しい,うるわしい,うるわしい
20298,程近い,ほど近い,ほどちかい
20744,浅ましい,あさましい,あさましい
20979,思わしい,思わしい,おもわしい
21214,厚かましい,厚かましい,あつかましい
21214,如何わしい,いかがわしい,いかがわしい
21439,生温い,生ぬるい,なまぬるい
21439,気怠い,けだるい,けだるい
21660,軽々しい,軽々しい,かるがるしい
21660,気難しい,気難しい,きむずかしい
21660,肌寒い,肌寒い,はださむい
21880,甘ったるい,甘ったるい,あまったるい
21880,あどけない,あどけない,あどけない
21880,苛立たしい,いらだたしい,いらだたしい
22135,極まりない,極まりない,きわまりない
22135,根深い,根深い,ねぶかい
22135,古めかしい,古めかしい,ふるめかしい
22135,おっかない,おっかない,おっかない
22135,せこい,せこい,せこい
22407,気高い,気高い,けだかい
22657,初々しい,初々しい,ういういしい
22657,甘酸っぱい,甘酸っぱい,あまずっぱい
22657,眠たい,眠たい,ねむたい
22657,赤黒い,赤黒い,あかぐろい
22936,腑甲斐無い,ふがいない,ふがいない
22936,木目細かい,キメ細かい,きめこまかい
22936,凛々しい,りりしい,りりしい
22936,恐れ多い,恐れ多い,おそれおおい
22936,エロい,,
23216,心無い,心ない,こころない
23216,気恥ずかしい,気恥ずかしい,きはずかしい
23216,物珍しい,物珍しい,ものめずらしい
23216,生暖かい,生暖かい,なまあたたかい
23482,手厳しい,手厳しい,てきびしい
23482,物々しい,ものものしい,ものものしい
23482,忙しない,せわしない,せわしない
23772,疾し,とし,とし
24074,しぶとい,しぶとい,しぶとい
24074,口煩い,口うるさい,くちうるさい
24074,疎ましい,うとましい,うとましい
24074,焦れったい,じれったい,じれったい
24387,際どい,きわどい,きわどい
24387,厳つい,いかつい,いかつい
24387,いじらしい,いじらしい,いじらしい
24387,憎らしい,憎らしい,にくらしい
24717,面白おかしい,面白おかしい,おもしろおかしい
24717,待ち遠しい,待ち遠しい,まちどおしい
24717,思しい,おぼしい,おぼしい
25068,縁遠い,縁遠い,えんどおい
25068,近しい,近しい,ちかしい
25068,憎々しい,憎々しい,にくにくしい
25429,たどたどしい,たどたどしい,たどたどしい
25429,ひもじい,ひもじい,ひもじい
25429,薄汚い,薄汚い,うすぎたない
25789,歯痒い,歯がゆい,はがゆい
25789,似付かわしい,似つかわしい,につかわしい
25789,回りくどい,回りくどい,まわりくどい
25789,きしょい,,
26152,易しい,やさしい,やさしい
26152,危なっかしい,危なっかしい,あぶなっかしい
26152,いみじ,いみじ,いみじ
26152,毛深い,毛深い,けぶかい
26548,惜しみ無い,おしみない,おしみない
26548,か弱い,か弱い,かよわい
26548,堆い,うずたかい,うずたかい
26548,しがない,しがない,しがない
26548,目敏い,目ざとい,めざとい
26939,めぼしい,めぼしい,めぼしい
26939,仰々しい,仰々しい,ぎょうぎょうしい
26939,禍々しい,まがまがしい,まがまがしい
27350,悩ましい,悩ましい,なやましい
27350,嘆かわしい,嘆かわしい,なげかわしい
27350,心苦しい,心苦しい,こころぐるしい
27350,聡い,さとい,さとい
27798,雄々しい,雄々しい,おおしい
27798,青黒い,青黒い,あおぐろい
28238,図太い,ずぶとい,ずぶとい
28238,罪深い,罪ぶかい,つみぶかい
28238,神々しい,神々しい,こうごうしい
28238,しょっぱい,しょっぱい,しょっぱい
28238,どす黒い,どす黒い,どすぐろい
28688,烏滸がましい,おこがましい,おこがましい
29169,晴れがましい,晴れがましい,はれがましい
29169,血腥い,血なまぐさい,ちなまぐさい
29169,はしたない,はしたない,はしたない
29659,揺るぎない,揺るぎない,ゆるぎない
29659,真っ黒い,真っ黒い,まっくろい
29659,女々しい,女々しい,めめしい
29659,怪し,消し,けし
29659,水臭い,水くさい,みずくさい
30141,あくどい,あくどい,あくどい
30141,敢え無い,あえない,あえない
30141,野暮ったい,やぼったい,やぼったい
30141,狡賢い,ずる賢い,ずるがしこい
30141,けばけばしい,けばけばしい,けばけばしい
30141,黴臭い,かび臭い,かびくさい
30722,塩辛い,塩辛い,しおからい
30722,白々しい,白々しい,しらじらしい
30722,由々しい,ゆゆしい,ゆゆしい
30722,捗々しい,はかばかしい,はかばかしい
30722,刺々しい,とげとげしい,とげとげしい
30722,気忙しい,気ぜわしい,きぜわしい
30722,愚かしい,愚かしい,おろかしい
30722,汚らしい,汚らしい,きたならしい
